"","text","emotion","polarity"
"268","i really hate the voice over actors on money heist lol it’s more than bothersome and the only thing i can pay attention too","anger","negative"
"269","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"270","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"271","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"272","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"273","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"274","why tf are guys giving out shitty mf weekly updates last week was fucking stupid and nobody likes t…","surprise","negative"
"275","society ke pressure me aake maine money heist dekhi and realised that they are lucky becauseis not t…","unknown","positive"
"276","netflix money heist and good girls latest season is in hulu
anything disney","joy","positive"
"277","money heist","unknown","positive"
"278","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"279","makes me remember this one time when my father received a video on whatsapp that went something on the…","unknown","positive"
"280","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"281","stranger things 
dark 
money heist 
breaking bad","sadness","negative"
"282","the few final episodes of money heist ptis basically series of unfortunate events","unknown","negative"
"283","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"284","how i miss berlinthe art of money heist","unknown","negative"
"285","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"286","money heist","unknown","positive"
"287","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"288","money heist it is","unknown","positive"
"289","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"290","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"291","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"292","i act like im okay but i low key need that money heist","joy","neutral"
"293","money heist it is","unknown","positive"
"294","money heist ghana version 
professor helps namplan the biggest heist in the history of ghana 
will nam get away w…","sadness","neutral"
"295","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"296","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"297","amazing facts about money heist 
<U+2B07><U+2B07><U+2B07><U+2B07><U+2B07>


moneyheist…","surprise","positive"
"298","feel like money heist in the last one","joy","neutral"
"299","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"300","would never get tired of talking about hyoyeons vocals i mean yall hear her the high note tho my heart stopped beating…","anger","negative"
"301","who else noticed the parallels between the black lives matter protest and the money heist story resistance and all…","unknown","negative"
"302","after money heist waiguru is the only figure practising the theme of the series she is white as snow provided sh…","unknown","neutral"
"303","money heist oo after everything i finally did<U+0001F62D><ed><U+00A0><U+00BD>ctising the theme of the series she is white as snow provided sh…","unknown","positive"
"304","seasonof money heist got me over here holding my breath <U+0001F92D>e theme of the series she is white as snow provided sh…","unknown","positive"
"305","which character do you love the most in money heist","joy","positive"
"306","money heist","unknown","positive"
"307","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD> as snow provided sh…","fear","positive"
"308","thank you for raising up to this issue ayeshaas for years now this illicit trade has repeatedly damaged the econo…","unknown","neutral"
"309","thank you for raising up to this issue ayeshaas for years now this illicit trade has repeatedly damaged…","unknown","neutral"
"310","wizkid is following tokyo from money heist on instagram <U+0001F602> 

starboy like better thing sha <ed><U+00A0><U+00BD>dly damaged…","fear","positive"
"311","money heist gt","unknown","positive"
